word,similarity,source
渔政,0.7386294603347778,Renda
警卫,0.7103165984153748,Renda
巡逻艇,0.6954115033149719,Renda
海岸警卫队,0.6927580237388611,Renda
巡逻机,0.6872029304504395,Renda
海监,0.6826472282409668,Renda
保安厅,0.6804479360580444,Renda
巡逻船,0.6736714243888855,Renda
科考,0.6660541296005249,Renda
中国海警,0.6513842344284058,Renda
美国海岸警卫队,0.6389986872673035,Renda
导弹驱逐舰,0.6358621716499329,Renda
联合执法,0.6354599595069885,Renda
搜救,0.6323133707046509,Renda
补给舰,0.6298022270202637,Renda
联合演练,0.6254662275314331,Renda
海上保安厅,0.6248501539230347,Renda
执法,0.6243059039115906,Renda
测量船,0.6238203644752502,Renda
美国军机,0.6196509003639221,Renda
