word,similarity,source
行政执法,0.6872547268867493,Pishu
查缉,0.6272249817848206,Pishu
联合执法,0.6089498400688171,Pishu
缉毒,0.6054884195327759,Pishu
缉私,0.6007397770881653,Pishu
严格执法,0.5973305106163025,Pishu
渔政,0.5946534276008606,Pishu
海岸警备队,0.5896610021591187,Pishu
执法人员,0.5850766897201538,Pishu
执法不严,0.5772682428359985,Pishu
执法合作,0.5760086178779602,Pishu
警务,0.5749618411064148,Pishu
执法活动,0.5749309062957764,Pishu
办案,0.5738909840583801,Pishu
中国海警局,0.5710833668708801,Pishu
司法,0.5704898834228516,Pishu
海警,0.5693510174751282,Pishu
公安部门,0.568680465221405,Pishu
巡逻,0.5676844716072083,Pishu
行政执法部门,0.5643815398216248,Pishu
