word,similarity,source
慑止,0.7992715835571289,Pishu
奇袭,0.7403464913368225,Pishu
核生化武器,0.7196537256240845,Pishu
暗处,0.6961585879325867,Pishu
制天权,0.6919775009155273,Pishu
反舰弹道导弹,0.6917237639427185,Pishu
海上力量,0.6915789842605591,Pishu
区域拒止,0.6911070346832275,Pishu
迎击,0.6900502443313599,Pishu
吓阻,0.6892422437667847,Pishu
性战争,0.6889938712120056,Pishu
消极防御,0.6883894801139832,Pishu
威慑性,0.6809309124946594,Pishu
敌方,0.6800894737243652,Pishu
信息化战争,0.6794635653495789,Pishu
潜艇战,0.6786385178565979,Pishu
海外基地,0.6718947291374207,Pishu
核战,0.6702637076377869,Pishu
防御力量,0.6665602326393127,Pishu
制空权,0.6655981540679932,Pishu
