word,similarity,source
拒止,0.601693332195282,CNKI
威慑能力,0.5652540326118469,CNKI
武统,0.5546644926071167,CNKI
阻遏,0.5344454050064087,CNKI
先发制人,0.5269262790679932,CNKI
慑止,0.5262393951416016,CNKI
吓阻,0.5209630727767944,CNKI
豪猪,0.51931232213974,CNKI
声东击西,0.5156400203704834,CNKI
战略威慑,0.5126020312309265,CNKI
对冲,0.5016021132469177,CNKI
核威慑,0.5011863112449646,CNKI
有限性,0.5000187754631042,CNKI
日益增强,0.4948182702064514,CNKI
对我国的,0.49063852429389954,CNKI
以小,0.4853864908218384,CNKI
烈度,0.4852965474128723,CNKI
后发制人,0.48451003432273865,CNKI
震慑,0.4834921061992645,CNKI
威慑力,0.4761790633201599,CNKI
