word,similarity,source
阻遏,0.7139496803283691,CNKI
有限性,0.6756392121315002,CNKI
威慑能力,0.6705446839332581,CNKI
蜂群,0.665195107460022,CNKI
阻滞,0.6532208919525146,CNKI
武统,0.6526855826377869,CNKI
火箭军,0.6498446464538574,CNKI
越强,0.6484313011169434,CNKI
制变,0.6475932598114014,CNKI
阻断,0.6459943652153015,CNKI
烈度,0.6440479159355164,CNKI
制空,0.6398193836212158,CNKI
保护伞,0.6394842267036438,CNKI
区域拒止,0.6381791234016418,CNKI
免遭,0.6347593665122986,CNKI
水雷战,0.6346120238304138,CNKI
组网雷达,0.6331861615180969,CNKI
火力战,0.6302326321601868,CNKI
外军,0.6276130080223083,CNKI
毁敌,0.6263786554336548,CNKI
