word,similarity,source
宣传战,0.621019184589386,Renda
信息战,0.5009103417396545,Renda
情报战,0.4732300937175751,Renda
军事行为,0.47203850746154785,Renda
隐蔽,0.467082679271698,Renda
操作,0.4426979124546051,Renda
战争准备,0.4394298493862152,Renda
所有政策,0.4356621503829956,Renda
性威慑,0.4350809156894684,Renda
统制,0.43188226222991943,Renda
样式,0.43041324615478516,Renda
混合战,0.4287467300891876,Renda
论战,0.42791640758514404,Renda
隐秘,0.42455238103866577,Renda
模糊不清,0.4213224947452545,Renda
实操,0.41958925127983093,Renda
国际舆,0.4189152717590332,Renda
军事性,0.4176447093486786,Renda
外交制裁,0.41756513714790344,Renda
一言以蔽之,0.4169771075248718,Renda
