word,similarity,source
威慑,0.6673731803894043,Renda
区域拒止,0.6658945083618164,Renda
慑止,0.6418437957763672,Renda
性威慑,0.6276858448982239,Renda
有限核,0.6124816536903381,Renda
吓阻,0.6112032532691956,Renda
防御者,0.5717791318893433,Renda
敌方,0.5667233467102051,Renda
施威,0.5573044419288635,Renda
进攻方,0.5540837645530701,Renda
水面舰艇,0.5527228116989136,Renda
现当代化,0.5504522323608398,Renda
混合战,0.5502467751502991,Renda
核反击能力,0.5498378872871399,Renda
量身定做,0.548866868019104,Renda
导弹基地,0.548145055770874,Renda
跨域,0.5467862486839294,Renda
陆基导弹,0.5460034012794495,Renda
核反击,0.5432251691818237,Renda
分布式,0.5414151549339294,Renda
