word,similarity,source
核威慑,0.7008336782455444,Pishu
战略威慑,0.6406647562980652,Pishu
威慑性,0.6247477531433105,Pishu
慑止,0.6235454678535461,Pishu
拒止,0.6215485334396362,Pishu
军事力量,0.6198561787605286,Pishu
吓阻,0.6102091670036316,Pishu
遏阻,0.6091846227645874,Pishu
震慑,0.6038755178451538,Pishu
防御,0.5972514152526855,Pishu
遏制,0.5969071388244629,Pishu
遏制力,0.5963634252548218,Pishu
威慑力,0.5910916328430176,Pishu
潜艇战,0.5847085118293762,Pishu
消极防御,0.5844950079917908,Pishu
阻吓,0.5778061747550964,Pishu
威慑能力,0.5771251916885376,Pishu
威压,0.5749614238739014,Pishu
性战争,0.5713386535644531,Pishu
离岸制衡,0.5691207647323608,Pishu
